,County,2009 Median Price,2010 Median Price,2013 Median Price,2012 Median Price
1356,391,72000.0,71200.0,72600.0,73600.0
1357,1208,116000.0,113500.0,118700.0,116700.0
1358,649,118721.0,104615.0,122339.0,101217.0
1359,2640,75000.0,77600.0,88500.0,85500.0
1360,1164,130700.0,130400.0,172400.0,148100.0
1361,1716,64100.0,63000.0,62500.0,62300.0
1362,77,269500.0,255900.0,240500.0,229200.0
1363,1771,78200.0,74200.0,70800.0,73400.0
1364,1702,219378.0,210611.0,215860.0,209721.0
1365,459,136200.0,133200.0,129100.0,130500.0
1366,1636,115700.0,116800.0,111600.0,115100.0
1367,1932,127800.0,116700.0,110200.0,108100.0
1368,1126,112100.0,107700.0,94400.0,108400.0
1369,2171,78500.0,78200.0,81600.0,79000.0
1370,1267,165900.0,160300.0,169300.0,159900.0
1371,685,147800.0,146700.0,139400.0,137200.0
1372,1614,102500.0,86300.0,92800.0,85500.0
1373,60,106100.0,104400.0,107100.0,104000.0
1374,694,52100.0,49200.0,51300.0,50700.0
1375,1546,151500.0,148100.0,154100.0,153700.0
1376,527,225100.0,221900.0,229300.0,218800.0
1377,287,159200.0,154200.0,160500.0,152100.0
1378,2960,106800.0,101900.0,109400.0,103100.0
1379,185,101500.0,102700.0,105500.0,102100.0
1380,1655,139400.0,150600.0,135600.0,134000.0
1381,102,121500.0,118900.0,119900.0,118400.0
1382,1271,154600.0,152000.0,141600.0,143900.0
1383,346,135400.0,136100.0,139100.0,136400.0
1384,4,496600.0,480600.0,571500.0,483100.0
1385,1165,145800.0,131600.0,150900.0,129300.0
1386,1995,66300.0,67600.0,72700.0,69300.0
1387,1315,244700.0,235200.0,240400.0,227000.0
1388,128,245800.0,230100.0,212700.0,208600.0
1389,1400,88800.0,88100.0,94400.0,89400.0
1390,758,192400.0,185600.0,185400.0,181300.0
1391,399,75100.0,71800.0,67800.0,67600.0
1392,1207,131400.0,131900.0,141100.0,116200.0
1393,661,84000.0,85000.0,84700.0,80000.0
1394,2092,92100.0,90200.0,84000.0,86500.0
1395,613,90000.0,89200.0,90700.0,87600.0
1396,1231,117400.0,108000.0,137100.0,115400.0
1397,324,86700.0,86600.0,89900.0,85800.0
1398,936,62900.0,60300.0,59600.0,57100.0
1399,985,112300.0,110300.0,113200.0,111400.0
1400,1812,92800.0,88200.0,84100.0,82600.0
1401,513,122100.0,117200.0,116500.0,116000.0
1402,1235,132700.0,128200.0,140100.0,131500.0
1403,681,117500.0,121200.0,121500.0,119500.0
1404,782,60500.0,60500.0,54900.0,56100.0
1405,1491,197400.0,121757.0,138468.0,135249.0
1406,1289,94600.0,89400.0,95800.0,88300.0
1407,1139,338700.0,315500.0,336300.0,313400.0
1408,234,129900.0,128900.0,129200.0,130300.0
1409,1835,74700.0,72000.0,73800.0,71600.0
1410,1845,86900.0,84300.0,81200.0,82200.0
1411,1063,98300.0,95500.0,93500.0,93700.0
1412,2338,124500.0,113600.0,126100.0,118100.0
1413,542,125500.0,153700.0,126700.0,130000.0
1414,417,228000.0,222300.0,225600.0,215300.0
1415,908,142265.0,125972.0,129080.0,122395.0
1416,979,73800.0,79500.0,72100.0,68400.0
1417,1815,139000.0,123800.0,129500.0,124900.0
1418,1162,162800.0,151500.0,171000.0,146100.0
1419,1755,89600.0,87500.0,92200.0,87600.0
1420,1948,125691.0,124619.0,133793.0,128757.0
1421,2208,97900.0,95600.0,106200.0,99900.0
1422,975,222600.0,205300.0,214200.0,203500.0
1423,1923,181900.0,175800.0,175800.0,172000.0
1424,1753,199300.0,198100.0,210300.0,204600.0
1425,2084,78800.0,74600.0,55100.0,58300.0
1426,330,176700.0,172700.0,181000.0,175400.0
1427,2869,66300.0,64500.0,74000.0,68600.0
1428,1194,122900.0,113700.0,118700.0,105700.0
1429,689,144200.0,136200.0,127800.0,132400.0
1430,93,317300.0,293700.0,268500.0,263900.0
1431,1300,123700.0,118900.0,119200.0,105800.0
1432,1827,126000.0,115300.0,122500.0,115000.0
1433,446,126500.0,125300.0,125500.0,124700.0
1434,1760,110800.0,106500.0,106300.0,103300.0
1435,1496,133500.0,135300.0,116300.0,117400.0
1436,2896,65100.0,65600.0,77200.0,71500.0
1437,576,194300.0,186400.0,193300.0,181300.0
1438,1018,93700.0,103500.0,126100.0,113500.0
1439,1361,166300.0,173100.0,177600.0,173100.0
