,County,2009 Median Price,2010 Median Price,2011 Median Price,2012 Median Price,2013 Median Price,2014 Median Price,2015 Median Price,2016 Median Price,2010 Difference,2011 Difference,2012 Difference,2013 Difference,2014 Difference,2015 Difference,2016 Difference,2010 Percent Change,2011 Percent Change,2012 Percent Change,2013 Percent Change,2014 Percent Change,2015 Percent Change,2016 Percent Change
70,461,192200,186300,178600,179600,182000,186900,190700,194300,-5900,-7700,1000,2400,4900,3800,3600,-3.069719043,-4.133118626,0.559910414,1.336302895,2.692307692,2.03317282,1.887781856
71,1749,147700,146100,143600,147200,154600,166800,175200,185300,-1600,-2500,3600,7400,12200,8400,10100,-1.083276913,-1.711156742,2.506963788,5.027173913,7.891332471,5.035971223,5.764840183
72,1505,145600,145000,136700,133100,133600,134800,137700,141200,-600,-8300,-3600,500,1200,2900,3500,-0.412087912,-5.724137931,-2.633504023,0.3756574,0.898203593,2.151335312,2.541757444
73,2172,64200,63800,65300,66500,68300,72400,75000,78500,-400,1500,1200,1800,4100,2600,3500,-0.62305296,2.351097179,1.837672282,2.706766917,6.002928258,3.591160221,4.666666667
74,1766,129300,125100,114500,109600,120500,126600,133100,146600,-4200,-10600,-4900,10900,6100,6500,13500,-3.248259861,-8.473221423,-4.279475983,9.945255474,5.062240664,5.134281201,10.14274981
75,977,88980,83443,84075,80188,96099,101160,107750,111961,-5537,632,-3887,15911,5061,6590,4211,-6.222746685,0.757403257,-4.623253048,19.84212102,5.26644398,6.514432582,3.90812065
76,228,166500,156700,155700,160200,165900,173300,184200,188700,-9800,-1000,4500,5700,7400,10900,4500,-5.885885886,-0.638162093,2.89017341,3.558052434,4.460518385,6.289671091,2.442996743
77,1562,126600,114800,103900,105000,109400,114700,119300,119400,-11800,-10900,1100,4400,5300,4600,100,-9.320695103,-9.494773519,1.058710298,4.19047619,4.844606947,4.010462075,0.083822297
78,73,112400,103500,75700,73600,77400,80500,78800,89700,-8900,-27800,-2100,3800,3100,-1700,10900,-7.918149466,-26.85990338,-2.774108322,5.163043478,4.005167959,-2.111801242,13.83248731
79,48,229100,213000,196800,196100,204400,205900,210100,221900,-16100,-16200,-700,8300,1500,4200,11800,-7.027498909,-7.605633803,-0.355691057,4.232534421,0.733855186,2.039825158,5.616373156
80,2511,58900,53400,55100,52500,55600,50000,52300,70500,-5500,1700,-2600,3100,-5600,2300,18200,-9.337860781,3.183520599,-4.718693285,5.904761905,-10.07194245,4.6,34.79923518
81,1860,175500,172200,170800,174500,185300,197000,201800,208700,-3300,-1400,3700,10800,11700,4800,6900,-1.88034188,-0.81300813,2.166276347,6.189111748,6.314085267,2.436548223,3.419226957
82,2077,130700,123400,107000,106000,120200,128300,133800,147900,-7300,-16400,-1000,14200,8100,5500,14100,-5.58530987,-13.29011345,-0.934579439,13.39622642,6.738768719,4.286827747,10.53811659
83,1396,124600,115800,112900,119000,143200,144600,146400,147200,-8800,-2900,6100,24200,1400,1800,800,-7.062600321,-2.504317789,5.403011515,20.33613445,0.977653631,1.244813278,0.546448087
84,2089,50400,59800,46200,51400,64200,66800,76200,95200,9400,-13600,5200,12800,2600,9400,19000,18.65079365,-22.74247492,11.25541126,24.90272374,4.049844237,14.07185629,24.9343832
85,2864,91000,92400,94000,102000,111900,120200,128600,131400,1400,1600,8000,9900,8300,8400,2800,1.538461538,1.731601732,8.510638298,9.705882353,7.417336908,6.988352745,2.177293935
