,County,2009IN,2009NET,2009POP1YR,state,county,2010IN,2010NET,2010POP1YR,2011IN,2011NET,2011POP1YR,2012IN,2012NET,2012POP1YR,2013IN,2013NET,2013POP1YR,2014IN,2014NET,2014POP1YR,2015IN,2015NET,2015POP1YR,County Code,2009 Median Price,2010 Median Price,2011 Median Price,2012 Median Price,2013 Median Price,2014 Median Price,2015 Median Price,2016 Median Price,2010 Difference,2011 Difference,2012 Difference,2013 Difference,2014 Difference,2015 Difference,2016 Difference,2010 Percent Change,2011 Percent Change,2012 Percent Change,2013 Percent Change,2014 Percent Change,2015 Percent Change,2016 Percent Change
33,"Alpine County, California",138.0,-42.0,4564,24,12,60.0,-35.0,2316.0,104.0,-390.0,4616,312,4.0,4788,228,16.0,4660,210,-76.0,4808,210,44.0,4524,1154,264800.0,224300.0,207600.0,214900.0,219200.0,207500,224000,280200.0,-40500.0,-16700.0,7300.0,4300.0,-11700.0,16500,56200.0,-15.29456193,-7.445385644,3.516377649,2.000930665,-5.337591241,7.951807229,25.08928571
34,"Amador County, California",5714.0,820.0,2567816,408,340,2462.0,148.0,1294584.0,4162.0,-382.0,2584000,4304,-358.0,2554080,4162,-126.0,2527900,4588,1226.0,2515048,5842,2304.0,2496552,710,213300.0,188400.0,169000.0,191000.0,205100.0,225400,242600,267700.0,-24900.0,-19400.0,22000.0,14100.0,20300.0,17200,25100.0,-11.67369902,-10.29723992,13.01775148,7.382198953,9.897610922,7.630878438,10.34624897
35,"Amherst County, Virginia",1545.0,-100.0,796450,1275,225,0.0,0.0,0.0,1108.0,-269.0,801800,774,-521.0,802300,752,-762.0,800775,986,-585.0,799625,1099,-558.0,797875,777,135500.0,140600.0,134600.0,134500.0,134400.0,137100,140300,141600.0,5100.0,-6000.0,-100.0,-100.0,2700.0,3200,1300.0,3.763837638,-4.26742532,-0.074294205,-0.074349442,2.0089285709999998,2.334062728,0.926585887
36,"Anderson County, Kansas",734.0,266.0,140724,360,54,463.0,214.0,71964.0,962.0,422.0,143784,982,416.0,143406,872,278.0,142002,828,396.0,140562,420,146.0,139878,2139,65700.0,61700.0,63100.0,61100.0,50300.0,53700,52400,54500.0,-4000.0,1400.0,-2000.0,-10800.0,3400.0,-1300,2100.0,-6.088280061,2.26904376,-3.169572108,-17.67594108,6.75944334,-2.420856611,4.007633588
37,"Anderson County, Kentucky",2317.0,869.0,521200,525,125,1492.0,657.0,250284.0,3348.0,1090.0,526425,3289,1073.0,529075,2390,-74.0,532000,1914,-272.0,533375,1576,-1102.0,534950,1846,122300.0,121600.0,117200.0,119200.0,117900.0,118900,123900,132500.0,-700.0,-4400.0,2000.0,-1300.0,1000.0,5000,8600.0,-0.572363042,-3.618421053,1.706484642,-1.090604027,0.8481764209999999,4.205214466,6.941081517000001
38,"Anderson County, South Carolina",14378.0,1340.0,24891440,6300,980,6655.0,-358.0,12533850.0,12760.0,-1210.0,25708340,12521,-3309.0,25938500,12859,-2400.0,26096700,12976,-2237.0,26259800,14167,-497.0,26448100,223,116900.0,114100.0,109600.0,109800.0,116200.0,118400,122300,129200.0,-2800.0,-4500.0,200.0,6400.0,2200.0,3900,6900.0,-2.395209581,-3.943908852,0.182481752,5.828779599,1.893287435,3.293918919,5.641864268
39,"Anderson County, Tennessee",8522.0,1214.0,5371068,3478,74,4410.0,629.0,2722238.0,7890.0,1056.0,5482586,8224,1310.0,5504934,7224,936.0,5522472,6542,-1084.0,5523730,7750,-90.0,5528392,455,110100.0,109700.0,106900.0,107600.0,108400.0,113100,116600,124900.0,-400.0,-2800.0,700.0,800.0,4700.0,3500,8300.0,-0.363306085,-2.552415679,0.654817587,0.7434944240000001,4.335793358,3.0946065430000003,7.118353345
40,"Anderson County, Texas",5648.0,993.0,4918056,4224,88,0.0,0.0,0.0,4576.0,-452.0,5064664,4571,-248.0,5079800,4656,183.0,5079536,4699,100.0,5064928,4611,196.0,5052432,1485,76500.0,76000.0,75000.0,76000.0,79000.0,83000,87900,91600.0,-500.0,-1000.0,1000.0,3000.0,4000.0,4900,3700.0,-0.653594771,-1.315789474,1.333333333,3.947368421,5.0632911389999995,5.903614458,4.209328783
41,"Andrew County, Missouri",2050.0,656.0,299106,522,54,1038.0,319.0,150921.0,1736.0,274.0,303768,1538,-154.0,306126,1354,-342.0,308916,1130,-184.0,308718,1068,-20.0,307476,2843,117500.0,113100.0,110500.0,111200.0,109500.0,118600,135000,133500.0,-4400.0,-2600.0,700.0,-1700.0,9100.0,16400,-1500.0,-3.744680851,-2.298850575,0.633484163,-1.528776978,8.310502283,13.82799325,-1.111111111
42,"Andrews County, Texas",344.0,159.0,131700,480,30,0.0,0.0,0.0,268.0,-32.0,143070,364,78.0,147510,535,148.0,153000,484,-23.0,157790,576,116.0,163650,2291,,,,157900.0,157600.0,157800,152400,140800.0,,,,-300.0,200.0,-5400,-11600.0,,,,-0.189993667,0.126903553,-3.4220532319999997,-7.611548556
