,County,2010 Median Rent Price,2011 Median Rent Price,2012 Median Rent Price,2013 Median Rent Price,2014 Median Rent Price,2015 Median Rent Price,2016 Median Rent Price,2011 Rent Difference,2012 Rent Difference,2013 Rent Difference,2014 Rent Difference,2015 Rent Difference,2016 Rent Difference,2011 Rent Percent Change,2012 Rent Percent Change,2013 Rent Percent Change,2014 Rent Percent Change,2015 Rent Percent Change,2016 Rent Percent Change
131,2276,923,928,946,937,943,945,936,5,18,-9,6,2,-9,0.541711809,1.939655172,-0.951374207,0.640341515,0.212089077,-0.952380952
132,211,1278,1259,982,930,1139,1063,1158,-19,-277,-52,209,-76,95,-1.486697966,-22.00158856,-5.295315682,22.47311828,-6.672519754,8.936970837
133,550,1495,1649,1639,1773,1963,2124,2115,154,-10,134,190,161,-9,10.30100334,-0.606428138,8.175716901,10.71630006,8.201732043,-0.423728814
134,1160,1494,1532,1569,1609,1653,1715,1776,38,37,40,44,62,61,2.543507363,2.415143603,2.549394519,2.734617775,3.750756201,3.556851312
135,1928,1187,1110,1047,1116,1161,1163,1171,-77,-63,69,45,2,8,-6.48694187,-5.675675676,6.59025788,4.032258065,0.172265289,0.687876182
136,2358,679,752,777,785,787,740,751,73,25,8,2,-47,11,10.75110457,3.324468085,1.02960103,0.25477707,-5.972045743,1.486486486
137,1631,950,927,922,910,916,911,911,-23,-5,-12,6,-5,0,-2.421052632,-0.539374326,-1.301518438,0.659340659,-0.545851528,0
138,177,672,928,1034,1022,881,1054,1078,256,106,-12,-141,173,24,38.0952381,11.42241379,-1.160541586,-13.7964775,19.63677639,2.277039848
139,352,1125,1027,1104,1139,1217,1269,1255,-98,77,35,78,52,-14,-8.711111111,7.497565725,3.170289855,6.848112379,4.272801972,-1.10323089
140,957,1091,1095,1142,1167,1159,1147,1135,4,47,25,-8,-12,-12,0.366636114,4.292237443,2.189141856,-0.685518423,-1.035375324,-1.046207498
141,1728,1232,1453,1442,1470,1497,1518,1511,221,-11,28,27,21,-7,17.93831169,-0.75705437,1.941747573,1.836734694,1.402805611,-0.46113307
142,665,796,801,800,920,860,877,931,5,-1,120,-60,17,54,0.628140704,-0.124843945,15,-6.52173913,1.976744186,6.157354618
143,906,948,866,951,1003,982,939,970,-82,85,52,-21,-43,31,-8.64978903,9.815242494,5.467928496,-2.093718843,-4.378818737,3.301384452
144,1384,847,813,815,686,740,825,699,-34,2,-129,54,85,-126,-4.014167651,0.24600246,-15.82822086,7.871720117,11.48648649,-15.27272727
145,1902,1083,1081,1151,1166,1173,1172,1144,-2,70,15,7,-1,-28,-0.184672207,6.475485661,1.303214596,0.600343053,-0.085251492,-2.389078498
146,71,1697,1737,1718,1743,1818,1883,1902,40,-19,25,75,65,19,2.357100766,-1.093839954,1.455180442,4.30292599,3.575357536,1.009028147
147,1119,898,859,844,876,876,902,890,-39,-15,32,0,26,-12,-4.34298441,-1.746216531,3.791469194,0,2.96803653,-1.33037694
148,1025,735,937,996,1005,1032,1001,1102,202,59,9,27,-31,101,27.4829932,6.296691569,0.903614458,2.686567164,-3.003875969,10.08991009
149,1427,939,959,953,955,1003,1042,1090,20,-6,2,48,39,48,2.129925453,-0.625651721,0.209863589,5.02617801,3.888334995,4.606525912
150,182,1091,1185,1210,1199,1289,1376,1419,94,25,-11,90,87,43,8.615948671,2.109704641,-0.909090909,7.506255213,6.749418154,3.125
151,1673,1296,1256,1291,1235,1221,1158,1088,-40,35,-56,-14,-63,-70,-3.086419753,2.786624204,-4.337722696,-1.133603239,-5.15970516,-6.044905009
152,105,1700,1661,1650,1701,1700,1737,1770,-39,-11,51,-1,37,33,-2.294117647,-0.662251656,3.090909091,-0.058788948,2.176470588,1.899827288
153,1588,1282,1243,1286,1314,1337,1426,1464,-39,43,28,23,89,38,-3.042121685,3.459372486,2.177293935,1.750380518,6.656694091,2.664796634
154,907,906,894,835,903,950,923,902,-12,-59,68,47,-27,-21,-1.324503311,-6.599552573,8.143712575,5.204872647,-2.842105263,-2.275189599
