,County,Value_measure_1,Value_measure_2,Difference
332,964,84000.0,85600.0,1600.0
333,144,206100.0,190900.0,-15200.0
334,2666,71800.0,67000.0,-4800.0
335,2901,83400.0,83000.0,-400.0
336,652,99700.0,105700.0,6000.0
337,704,77600.0,75500.0,-2100.0
338,2527,70000.0,71000.0,1000.0
339,512,151200.0,143800.0,-7400.0
340,564,160100.0,179900.0,19800.0
341,268,248800.0,277200.0,28400.0
342,2023,71800.0,70800.0,-1000.0
343,460,99000.0,96200.0,-2800.0
344,1410,129400.0,140600.0,11200.0
345,847,190100.0,153000.0,-37100.0
346,2469,117000.0,116600.0,-400.0
347,1303,117600.0,102500.0,-15100.0
348,125,290500.0,320900.0,30400.0
349,2698,50200.0,49800.0,-400.0
350,2878,67900.0,72200.0,4300.0
351,1712,88700.0,91400.0,2700.0
352,1434,230100.0,211600.0,-18500.0
353,744,96600.0,85600.0,-11000.0
354,695,75000.0,76500.0,1500.0
355,2509,62600.0,60200.0,-2400.0
356,1347,108668.0,113735.0,5067.0
357,1661,135500.0,129500.0,-6000.0
358,10,161400.0,191500.0,30100.0
359,292,93500.0,89100.0,-4400.0
360,113,217900.0,252400.0,34500.0
361,1336,134900.0,129000.0,-5900.0
362,2668,79600.0,80400.0,800.0
363,1014,316100.0,292700.0,-23400.0
364,723,245000.0,238500.0,-6500.0
365,1260,166900.0,152500.0,-14400.0
366,969,95800.0,104400.0,8600.0
367,2463,79900.0,71200.0,-8700.0
368,1768,72500.0,83700.0,11200.0
369,536,136400.0,167100.0,30700.0
370,1246,151300.0,150100.0,-1200.0
371,1067,177300.0,130600.0,-46700.0
372,2347,80100.0,90900.0,10800.0
373,1236,67900.0,67200.0,-700.0
374,2078,88225.0,99749.0,11524.0
375,1087,217400.0,259200.0,41800.0
376,430,59600.0,59900.0,300.0
377,2383,107900.0,110700.0,2800.0
378,2516,88200.0,75400.0,-12800.0
379,835,119600.0,121300.0,1700.0
380,214,134200.0,140500.0,6300.0
381,382,90000.0,83100.0,-6900.0
382,172,130200.0,139000.0,8800.0
383,602,96800.0,105400.0,8600.0
384,1635,104200.0,109300.0,5100.0
385,1985,89400.0,78900.0,-10500.0
386,1423,125500.0,145400.0,19900.0
387,429,107800.0,115600.0,7800.0
388,672,95500.0,109400.0,13900.0
389,699,104000.0,119800.0,15800.0
390,1179,178800.0,188400.0,9600.0
391,305,152200.0,118200.0,-34000.0
392,1659,67300.0,70500.0,3200.0
393,300,278400.0,278100.0,-300.0
394,594,121700.0,103600.0,-18100.0
395,2013,74900.0,74700.0,-200.0
396,1514,94000.0,100400.0,6400.0
397,561,92100.0,87400.0,-4700.0
398,1418,142800.0,135400.0,-7400.0
399,1508,74800.0,77200.0,2400.0
400,1997,136400.0,137000.0,600.0
401,703,92400.0,91500.0,-900.0
402,1212,238600.0,288400.0,49800.0
403,54,201100.0,255200.0,54100.0
404,959,166300.0,145400.0,-20900.0
405,2494,86700.0,103400.0,16700.0
406,2170,79300.0,79100.0,-200.0
407,1451,107800.0,98900.0,-8900.0
408,1326,171500.0,171800.0,300.0
409,507,208700.0,202400.0,-6300.0
410,599,203800.0,213200.0,9400.0
411,482,110100.0,116900.0,6800.0
412,544,156200.0,153700.0,-2500.0
413,347,75300.0,76200.0,900.0
414,540,92100.0,88900.0,-3200.0
415,898,179100.0,184900.0,5800.0
416,1351,210900.0,245400.0,34500.0
417,318,89500.0,74500.0,-15000.0
418,2300,53300.0,60300.0,7000.0
419,2495,55300.0,58400.0,3100.0
420,27,348800.0,495100.0,146300.0
421,2108,186400.0,209500.0,23100.0
422,1156,209800.0,189600.0,-20200.0
423,1629,100100.0,113000.0,12900.0
424,1697,101400.0,104000.0,2600.0
425,508,159700.0,157200.0,-2500.0
426,2187,64400.0,62300.0,-2100.0
427,600,98200.0,104700.0,6500.0
428,1422,103200.0,97000.0,-6200.0
429,727,74500.0,81600.0,7100.0
430,2618,55200.0,53700.0,-1500.0
431,715,94200.0,83900.0,-10300.0
432,2246,70100.0,77500.0,7400.0
433,1325,154300.0,161100.0,6800.0
434,1651,64200.0,56200.0,-8000.0
435,362,172700.0,167900.0,-4800.0
436,1930,73525.0,69892.0,-3633.0
437,1135,103800.0,70900.0,-32900.0
438,385,98800.0,113300.0,14500.0
439,359,150200.0,127400.0,-22800.0
440,515,97100.0,96200.0,-900.0
441,1065,71400.0,68100.0,-3300.0
442,1623,67100.0,68900.0,1800.0
443,1940,65100.0,63500.0,-1600.0
444,1807,108100.0,114100.0,6000.0
445,651,61158.0,64861.0,3703.0
446,409,77100.0,78300.0,1200.0
447,473,82800.0,85500.0,2700.0
448,2056,82516.0,75075.0,-7441.0
449,588,86200.0,80800.0,-5400.0
450,2295,66000.0,64100.0,-1900.0
451,904,156600.0,164300.0,7700.0
452,2918,61900.0,61900.0,0.0
